feature_set_version,freeze_id,source_run_id,collector_ts,book_timestamp,iteration,batch_index,market_id,event_id,outcome,token_index,token_id,clob_market,hash,spread,midpoint,best_bid_size,best_ask_size,top_of_book_imbalance,microprice_proxy,last_trade_minus_mid,bid_levels_count,ask_levels_count,staleness_flag,market_quality_score
v0_1,20260311T214230Z__20260312T133004Z,20260311T214230Z,2026-03-11T21:42:40.559034+00:00,1773265354241,2,0,540818,,Yes,0,88275040060084773376557187972215267513049848642895776801789297917961077894224,0x50ddb9cd80d5c271664a2ebb7fcaed1d0a148d82c8e8d314d830f75a944c3dcc,37f327ffcf1692cb725497a783869332fe3233e5,0.01,0.525,21,59.52,-0.47839046,0.52260805,-0.015,29,26,0,3
v0_1,20260311T214230Z__20260312T133004Z,20260311T214230Z,2026-03-11T21:42:40.559034+00:00,1773265354241,2,0,540818,,No,1,94376205816022955542979635542279932967359915765455578534002478996104754801969,0x50ddb9cd80d5c271664a2ebb7fcaed1d0a148d82c8e8d314d830f75a944c3dcc,34aabf5df5f37aaa1a58dfcae8ebd064918faf38,0.01,0.475,59.52,21,0.47839046,0.47739195,0.035,26,29,0,3
v0_1,20260311T214230Z__20260312T133004Z,20260311T214230Z,2026-03-11T21:42:40.559034+00:00,1773265356582,2,0,540819,,Yes,0,90435811253665578014957380826505992530054077692143838383981805324273750424057,0x32b09f6390252b37d674501527e709016d55581b2c1e544bd4b8167f5f732f4c,eb033441f37e4daf006bcdcf7eeec9a921d646d9,0.01,0.485,101850.11,227199.03,-0.38094286,0.48309529,0.026,43,43,0,3
v0_1,20260311T214230Z__20260312T133004Z,20260311T214230Z,2026-03-11T21:42:40.559034+00:00,1773265356582,2,0,540819,,No,1,92388629082681805622801622703528982922543286352927708208755887536971583436902,0x32b09f6390252b37d674501527e709016d55581b2c1e544bd4b8167f5f732f4c,5d48c74e9d451522e040ab170c5e3140bfdbce03,0.01,0.515,227199.03,101850.11,0.38094286,0.51690471,-0.004,43,43,0,3
v0_1,20260311T214230Z__20260312T133004Z,20260311T214230Z,2026-03-11T21:42:40.559034+00:00,1773265334715,2,1,540881,,Yes,0,8441400852834915183759801017793514978104486628517653995211751018945988243154,0xcccb7e7613a087c132b69cbf3a02bece3fdcb824c1da54ae79acc8d4a562d902,1749e8628f7c16b26f31e581331a8bbff3888af7,0.001,0.0185,5486.77,403.24,0.86307663,0.01893154,0.9635,18,70,1,2
v0_1,20260311T214230Z__20260312T133004Z,20260311T214230Z,2026-03-11T21:42:40.559034+00:00,1773265344565,2,1,544092,,No,1,86488478623677188352872801318507143761188967461168408688159600382919967378486,0xf398b0e5016eeaee9b0885ed84012b6dc91269ac10d3b59d60722859c2e30b2f,1574caedde0c1a78076ae370f510fc7a02744857,0.056,0.539,80,15.11,0.68226264,0.55810335,-0.034,32,21,1,2
v0_1,20260311T214230Z__20260312T133004Z,20260311T214230Z,2026-03-11T21:42:40.559034+00:00,1773265357587,2,1,540843,,No,1,17516427576383382756368467656206258206490015951115433065318503962238754362428,0x7b49b9bacb5f435bc10f3b100ff59e2fdd346f7f92a9001881bc9825a0af0f11,3a7a937cba1d4a0b00dad8f66f70552a008ec718,0.01,0.485,5071.65,4597.24,0.04906561,0.48524533,-0.004,32,49,0,3
v0_1,20260311T214230Z__20260312T133004Z,20260311T214230Z,2026-03-11T21:42:40.559034+00:00,1773265338445,2,1,540820,,No,1,64533579809297525579033609963634939501013332859992608996100633472507000251907,0x84f8b70331323c2fba97d7ceaa9a35fb645a0770d0dbff169d07f24f376766e9,b56a75e05ea2efce1e18c9245748e815a1d4e1be,0.01,0.475,2753.27,673.05,0.60712952,0.47803565,0.005,39,41,1,2
v0_1,20260311T214230Z__20260312T133004Z,20260311T214230Z,2026-03-11T21:42:40.559034+00:00,1773265357587,2,1,540843,,Yes,0,21695138873211375451055566770107682325494206727818897067665810321709249824909,0x7b49b9bacb5f435bc10f3b100ff59e2fdd346f7f92a9001881bc9825a0af0f11,7a1782bbfac5de42d057c70f824913500fad8acb,0.01,0.515,4597.24,5071.65,-0.04906561,0.51475467,-0.034,49,32,0,3
v0_1,20260311T214230Z__20260312T133004Z,20260311T214230Z,2026-03-11T21:42:40.559034+00:00,1773265338445,2,1,540820,,Yes,0,108999723207897941876452935557011604067917389120996960199512481363958770540884,0x84f8b70331323c2fba97d7ceaa9a35fb645a0770d0dbff169d07f24f376766e9,b9335499432ce41489bd5e8e21280baf6922de93,0.01,0.525,673.05,2753.27,-0.60712952,0.52196435,-0.045,41,39,1,2
v0_1,20260311T214230Z__20260312T133004Z,20260311T214230Z,2026-03-11T21:42:40.559034+00:00,1773265359091,2,1,540844,,Yes,0,105267568073659068217311993901927962476298440625043565106676088842803600775810,0xbb57ccf5853a85487bc3d83d04d669310d28c6c810758953b9d9b91d1aee89d2,13978f2edc7e1c652a81f29876b2311e46367eca,0.003,0.4885,1519.82,66744.39,-0.95547242,0.48706679,0.0215,63,50,0,3
v0_1,20260311T214230Z__20260312T133004Z,20260311T214230Z,2026-03-11T21:42:40.559034+00:00,1773265359091,2,1,540844,,No,1,91863162118308663069733924043159186005106558783397508844234610341221325526200,0xbb57ccf5853a85487bc3d83d04d669310d28c6c810758953b9d9b91d1aee89d2,8a17328fcc51faa74ec1dac0a8c476e69b17b4bc,0.003,0.5115,66744.39,1519.82,0.95547242,0.51293321,-0.0015,50,63,0,3
v0_1,20260311T214230Z__20260312T133004Z,20260311T214230Z,2026-03-11T21:42:40.559034+00:00,1773265334715,2,1,540881,,No,1,109289569086508934142323222102974769075074494425163878721602922903101062859033,0xcccb7e7613a087c132b69cbf3a02bece3fdcb824c1da54ae79acc8d4a562d902,75d4d3d6b9a0520b009022f4823443cfa765a7a0,0.001,0.9815,403.24,5486.77,-0.86307663,0.98106846,0.0005,70,18,1,2
v0_1,20260311T214230Z__20260312T133004Z,20260311T214230Z,2026-03-11T21:42:40.559034+00:00,1773265344565,2,1,544092,,Yes,0,24327803960645909378149041810697343640752122608192367041827900158592826352552,0xf398b0e5016eeaee9b0885ed84012b6dc91269ac10d3b59d60722859c2e30b2f,a7216a30cd5d07004a16ff393ab4fccfab0a7c35,0.056,0.461,15.11,80,-0.68226264,0.44189665,0.044,21,32,1,2
